,song,group,lyrics,source
176,Deja Vu,Dreamcatcher,"Erase all the last memories with your eyes that lost light  End of the memory, leaving only the traces of the road that left the fog away, and finally sleeped in a longer silence, OH, NOW, HOLDING THIS PAIN has abandoned everythingLike that day, it gets more painful every day, and in front of you, OH, deja vu oh, deja vu oh, deja vu oh, deja vu so I'm a fallen now I can't let you go until the day when this breath is allowed.Don't get farther away by my side (EH) This moment is all false (UH) The illusion of passing by for a while, and if you can go back with a wet tears, you can go back to the late regret, yeah so nowLike you throw away, it becomes more vivid every day, and in front of you, OH, deja vu oh, deja vu oh, deja vu oh, deja vu so I'm a fallen now.I'll do it all the truths that I believed by my side covered me with falsehoods, OH, Ah, follow you who have grabbed like a stem in the dark, followed you, deja vu oh, deja vu oh, deja vu I'm savedNOW even if you only put my whole me for you, even if the painful wounds deepen, all the moments are not as far as you are, and now, I'm in my deja vu",0
177,Blue,BIGBANG,"Winter is coming and spring is coming. We withered and my heart was bruised in my longing (I'm singing my blues).I'm dangerous, so I leave you from you, but I'm cowardly, but I'm not hiding. The cruel breakup is that the last melodies of my life are coming down.I can't feel you even if I love my heart, which loves to die, and I can't feel you. Winter is coming and spring is coming. We wither and wither and my heart was bruised (I'm singing my blues) Blue tears and blue sorrow (I'm'mSinging My Blues) The love sent to the floating clouds seems to have a long heart.I can't endure complicated, it's nothing but wandering people who can't be involved, and I'm born and loved and died.I'm going to fall asleep alone. I'm wandering in my dreams and sings this song (I'm singing my blues) Blue singing my blues (I'm singing my blues)(I'm singing my blues) Love is blown in the clouds of blue tears (I'm singing my blues) Oh oh oh",0
178,HERO,Monsta X,"The only problem I've found while watching you all day yeah Yeah I'm not a bother -like man like a wolf who bothers you. You're mine, but I have a duty to protect you.Don't do it, I can be your hero  I can be your hero  I can be your hero I can be your HERO I can be your man I can be your man I can be your man I can beYour hero villains are in bad things behind them, then put on the trucks, and it's like a beast.Wearing panties on the pants and wearing a cloak, sometimes wearing a suit, light, light, light, and we are going to warn the last bow, and when I get angry, I will be frustrating or scary.It's like a game that protects the princess, don't worry, I'm your own man I can be your hero  I can be your heroI can be your man ay I all of you all the villains that make you crying to make you laugh on your mouth that makes you laugh on your mouth.I can be your hero I can be your man I can be your man I can be your man I can be your man",0
179,Late Night Feels,Monsta X,"Know what to do with these late night feels Late night feels, yeah, ooh-ooh Know what you do in those late night feels Late night feels, late night feels What if we go missing Turn off both our phones Making my decisions Do some things we won't Do it when they listening, yeah Proof's in the kitchen, mm We're the only witnesses Ooh-ooh-ooh, oh-ooh-woah Know what to do with these late night feels Late night feels, I want you baby Know what you do in those late night feels Late night feels, yeah, ooh-ooh Know what to do with these late night feels Late night feels, I want you baby Know what you do in those late night feels Late night feels, yeah, ooh-ooh Late night feels, late night feels, yеah, ooh-ooh Late night feels, late night feels, ooh We've been living in that midnight life Sipping with the same things in mind It's true, woah, yeah They've been telling me I'm wasting time With my hands around your waistline Not true, ooh, yeah Just keepin' it real You know you're a steal Like twelve out of twelve You're my ideal I know you got taste, like If Gucci made cakes, right I'd take two, ooh-ooh-ooh Know what to do, know what to do, know what to do Know what to do, know what to do, know what to do With these late night feels Know what you do with these late night feels Late night feels, I want you baby Know what you do in those late night feels Late night feels, ooh, yeah Late night feels, late night feels, yeah, ooh-ooh Late night feels, late night feels, ooh",0
180,SOMEONE'S SOMEONE,Monsta X,Maybe this is crazy Crazy just to wonder Wonder if there's someone meant for you Sunshine when it's raining Raining over lovers Lovers in the shade of color blue Is there someone to give it all? We all wanna be someone's Wanna be someone's someone With somebody we can't live without We all wanna be someone's Wanna be someone's someone With someone we can't live without  So completely perfect Perfect with no reasons Reasons are for people you meant to lose Someone full of secrets Secrets in the shadows Shadows with excuses breaking through But is there someone to give it all? We all wanna be someone's Wanna be someone's someone With somebody we can't live without We all wanna be someone's Wanna be someone's someone With someone we can't live without  Someone we can't live without (Somebody we can't live without) Someone we can't live without,0
181,Zombie,DAY6,"What day was yesterday?Was there anything special?I'm going to think about it, but I didn't have much, but today I have the same flowing like me, how to endure me, how to endure it.There seems to be no one, when did the head and heart have been empty when do you feel like a scarecrow?I like a zombie I walked waiting for just asleep tomorrow without any challenge (alive, alive)  yeah, we live a life, I want to relax and want to relax, even if I want to relax or dream of anything.I can't do I feel like I because when did the head and heart have been empty?I beCame a zombie I walked and waited for just to sleep tomorrow, and I lived and put down the Wanna Cry, CAN I CRY?Return my dry tears oh, oh I feel like I because when the head and heart have been empty, when did it happen?I beCame a zombie I walked again and waited for just to sleep tomorrow.",0
182,하드캐리 Hard Carry,GOT7,"Hard Carry Had Hard Carrye  AY Welcome to My World Let's Do This Issue Early Issue I'M so Ill It is too noisy outside the plane.I'm not too sad, and I can't do it with a word in one word.(I got this right) Don't worry tomorrow (don't worry) Today I only have a hard carrier ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha.Let it flow now, I waved and listened to it.At the end of the stage, there is no bed that is more comfortable than a cloud by plane.GOT this Right (I goT this right) Don't worry tomorrow (worried) Today I only have hard carry hard carry harm Let it flow, let it flow now waved.IT flow, let it flow now shook and listened to it.Na Blow Your Mind I Just Wanna Show My Mind Hard Carry SeaHaha Hard Carry Sea, haha Hard Carry",0
183,One Day,Monsta X,"Holdin' my breath and then I count to ten On to the next, that's what my mother said All of my friends, they never liked you But they never knew you like I do They say hindsight's 20/20 Maybe I'll, maybe I'll see it one day One day, one day, I will Yeah, I wish I could have made you love me Maybe I'll, maybe I'll feel it one day One day, one day, I will But right now I'm drunk Right now, I'm wasted Spillin' out my guts To the ghosts in our apartment Mmm, they say hindsight's 20/20 Maybe I'll, maybe I'll see it one day One day, one day, I will Ay, yeah, maybe I will Mmm, mmm Yeah, maybe I will Mmm-mmm, mmm Yeah, maybe I will I try to forget you, how your body felt Your head on my chest, that summer in the hills I wish you the best with somebody new But they'll never love you like I do They say hindsight's 20/20 Maybe I'll, maybe I'll see it one day One day, one day, I will Yeah, I wish I could have made you love me Maybe I'll, maybe I'll feel it one day One day, one day, I will But right now I'm drunk Right now, I'm wasted Spillin' out my guts To the ghosts in our apartment Mmm, they say hindsight's 20/20 Maybe I'll, maybe I'll see it one day One day, one day, I will Ay, yeah, maybe I will Mmm, mmm Yeah, maybe I will Mmm-mmm, mmm Yeah, maybe I will",0
184,HULA HOOP,LOONA,"Hula-La-La, Hula-La-La, Hula-La, Hula Hoop hula-la-la, hula-la, hula, hula Hoop (dance 'Round me Like a ...) hula-la-la (oh)Yeah), hula-la-la, hula-la, hula hoop (Yeah-yeah) hula-la-la, hula-la, hula, hula hoop fruits, and the world passes through the world., Shout It Out!) Appearing, disappearing, dazzling, dazzling, Garden I'VE Never Felt the Before It's Cause of You, You Beautiful You Got Me Like, Ooh-La-La, I Want You LikeYeah, Stay With Me Forever, Now What You Say? I Can Give Not always connected 'Cause I'm Feeling Thing Is Right (Let's Go!) Dance!Hitoshi Hoshi who flies around is Andromeda (Like A Hula, Hula, Hula, Hula Hoop) Stand! Stand! SPIN THE Self -centered love (COMING NOW, Spinning 'ROUNDHula-la-la, hula-la-la, hula-la, hula hoop hula-la-la, hula-la, hula, hula hoop (dance 'Round me Like a ...) Hula-la-la, hula-la-la, hula-la, hula hoop hula-la-la, hula-la, hula, hula hoop you (you) Garakuta shining Galaxy is the best? The best? The best?Is it? The Fire in Your Heart (Fire IN YOUR HEART, Hot, Hot) Tobira, I Open Up, I Open Up, Don't Make Me STOP Beyond the universe Hey, You Gonna Make Me Pop-Pop-Pop-Pop-Pop-POP'Stay With Me Forever, Now What You Say? I Can Give Listen's myths (Yeah, Yeah) The past and the future are the present (now) 'Cause I'm Feeling Thing Is Right (Let's Go!) Dance! Turn Around!And 'ROUND AND' ROUNDDance Around Me Like A HULA HOOP HULA-LA-LA, Hula-La-La, Hula Hoop HULA-LA-LA, Hula-La, Hula, Hula Hoop (Dance 'Round Me Like A ...)Hula-la-la, hula-la-la, hula-la, hula hoop hula-la-la, hula-la, hula, hula hoop we going 'ROUND-' Round, infinite vortex.What I don't want is the possibility (Feels so right!) You and Dance! Turn Around and 'ROUND' ROUNDIKEA HULA HOOP) Stand! SPIN THE Self-centered love (Spinning 'Round, Spin It Right' Round!) I CAN Make You Dance Around Me Like A Hula Hoop Hula-La, Hula-La-LaHula-La, Hula Hoop Hula-La-La, Hula-La (OH, Yeah), Hula, Hula Hoop (Dance 'Round Me Like A ...) Hula-La-La, Hula-La-La, Hula-, Hula-La, Hula Hoop HULA-LA-LA, Hula-La, Hula, Hula Hoop",0
185,You make Me,DAY6,"Standing on the edge of a cliff, even though it seems like it's the end, I'm still here. Hey, step by step, step by step, step by step, even if it's heavy, keep going If there is love ♪ You make me Nothing will change, nothing more to wish for, it will stay the same Everything except me will flow away Because I found the happiness that is you in it, yeah Because it's you, I can't be shaken Because you're my last ray of hope If I lose you, there is no tomorrow If I have you, that's all I need Don't let go The fact that you're there is my last ray of hope, so hold on to me Although being alive is scary and daunting I can endure it if only I have your love",0
186,Hi High,LOONA,"You know it's been a long day I haven you Today you today You'Re Somewhere I'm Sure OOH, yeah-yeah-yeah-yeah hey-hey, yeah know better than anyone elseI don't want to make fun of you. Why do I have to accept you so quickly. It's not a wheat.I don't want to give my love easily (OOH-OOOH-OOO-OOOH, Ah) I'm special (OOH-OOOH-OOO-OOOH, Ah) I'm a pretty kid.Hi, goodbye, take me high, high, high, high, take me more, and give me a little more love, love, love, love, pounding (it's true), yeah!) It's not easy. It's cruel to be cruel and sweet. I talked sweetly once or twice a day, I'm a selfish me, it's' You, Ooh-ooh-ooh-ooh, yeah I love you.Wait a little bit more, even if you don't have any words (OOH-OOOH-OOO-OOOH, AH) (OOH-OOOH-OOO-OOOH, AH).Ah) I'm worried (OOH-OOOH-OOO-OOOH, AH) I can't get tired. Actually, will I be caught in my heart? say hi, hi, hi, hiTake me a little bit more, LOVE, LOVE, LOVE, LOVE, Exciting (It's true!)Everything is all the love that I waited for?I need a little more time I show you sweet and sweet, sour and spicy, spicy, spicy, fresh, fresh and refreshing.BAD) What should I do?(OH, yeah) My heart is heated up, what should I do?",0
187,Jazz Bar,Dreamcatcher,"Your eyes feel through the red light that comes down, and you can see it in a sweet eye open door that comes to my eyes ah-Ah.Nah I Feel I Love You Oh, I Love You OH, I like you do I know you?Oh-ha i Think I love you (love you) oh, I love you (love you) oh, I like you (like you) Maybe you'll feel itIT (KNOW) Know Baby, You Know It I don't know how we will be similar.I want to stop the song I sang and I want to whisper OH, Nah I feel IOU (You-OOOH-OOOH) oh, I love you (Oh, I love you) oh, I like youDo I know you?Oh-ah I love you (love you) oh I love you (love you) oh I like youI don't want to do it like an old lover I Feel I Love You (Hey-EH-EH-EH-EH) OH, I Love You (EH-EH-EH-EH-EH) OH, I like you-Doo) Do I know you?Oh-Ah I LOVE YOU (Love You) OH, I Love You (Love You) OH, I like You (Like You) May You'll Feel IT-Ooh-Hoo OOH-OOH-OOH-OOH-OOOH-OOH-OOOH-OOOH-OOOH-HOOH-HOO-HOO-HOO-OOOH, Whoa-OH (I Feel I Love You) OOH-OOH-OOH-Hoo OOH-OOH-OOOH-OOOH-OOH-OOOH-OOOH-OOOH-OOOH-OOH-OOH-OOH-OOH-OOH-OOH-OOH-OOH-OOH-OOH-OOOH",0
188,FANTASTIC BABY - Japanese ver.,BIGBANG,"Collect all here we gon 'PARTY LIKE LIRIRIRIRIRA LARARARARALA LIRE LALARALA. Empty the fire.Do not ask the right answer, accept it as it is, and I want to face the sky and face the sky and I want to run up all the hands OH Fantastic Baby Dance I wanna dan dan dan dan dan dan dan Dan dan dan danceWow Fantastic Baby shakes the land of Hey on the dwarf plate and shakes the land of Hey, and the inadequate RACE WAIT atmosphere is overheated huh catch me on Fire huh.Even if you run, we're so blue that you don't ask anything because it's so green enough.I come to the eternal forever, the forbidden time tonight, I don't have a forbidden, MAMA Just Let me be your lover goes beyond the confusion and the visuals from the end to the tip of the head to the toe are faster than others.Ice Ice HOLD UP Nananananana starts to play according to your heart and you will be a fall fantastic baby today until the end of the heart until the end of the end.Let's run ye ye ye, let's go together ye ye ye, let's go together with Wow Fantastic Baby",0
189,POSE,LOONA,"SPOTLIGHT (OH, yeah) pouring out of the POSE focus and stretches on the gaze that stretches, and the spotlight (oh, yeah) pouring out of the sparkling spotlight (oh, yeah) popping shutter that swallows the light.Looking at the day, the look of the look of the ANGLE UP four hearts with a special charm of the Different Confidence and the stance keep goin 'my way (ayy) all the people stop (OH, yeah)Own My Way (OWN MY ROAD) Walking ON, Walking ON confidently open my door, more freely (Lights, Camera, Action, Pose) Flash, Flash, Sensational Pose Keep, Keep, Keep YouE'RYBODY SAYS WHOA SAYS WHOA (POSE) Feelin 'Feelin' Like Hollywood You know all of the main characters of Scene Follow My Flow, Watering Voice Great LOONA's Wave, more make a Gold?So what?I'm shooking, I'm gonna Change My Space, which has broken the extensive, and the upcoming world deepened, the world's deeper, the colored moonlight, Keep Goin 'My Way (AYY) all the people stop (OH, yeah)So High Tension Just make a ROAD (NOW) Step (on My Way) Walking ON, Walking ON Walk Open My Door, more proudlyPOSE (I'm Pose) Keep, Keep, Keep Your Focus On (Oh, Whoa, Yeah, Yeah) Now-NA Stand Up and Strike A POSE (OH, YEAH) Moving, NA-NA-NA (like Na-NA-NA-NA-NA) everythingUp and Strike a Pose Pose Turn on the Light All Pause (Hey!) Over the Pose Pose (Hands Up!)Stand Up and Strike A POSE (OKAY, YEAH) I Walk Like Na-NA (OH, Na, Na, Na, Na)Up and Strike a Pose",0
190,키스는 다음에,LOONA,"Every morning, nine o'clock appears every morning, and even though I see my heart every day, I'm awkward and I'm still embarrassed, but I like it.Know, don't surprise you don't surprise you. Don't let your lips take your lips without notice.The kiss is not like the main character in the melodramatic movie, but it's not as light as a child.Don't be surprised, don't be surprised.It's useless, I need to be ready for your mind. Oh, I like you too, but today I don't hug it. I'm so urgent.) Kiss the next time",0
191,LOVE,Monsta X,"What do you think love is? We're loving this time Right Now (Hoo, Hoo) We Back Again, Once Again MM-MM, we have not forgotten yet (Ah-Ah) MM-MMAH) mm-mm, now when you have fallen into the days with you (AH-AH) and pulled out the feelings with you on a pure day.Me I want to give everything as it is now (OHH) and once again, LOVE ME likes you be, Baby You're my love from the first moment I saw me 'Cause you' my, 'cause you' my love for me,Baby Finding Love I can't hide 'Cause you' my, 'cause you' my love for me, Baby I show for the love me, tell me shot for the loveTell Me, tel me prayed forever forever, please make me crazy (OOH-OOO) Come and Get it, Come and Get it (Ah, Ah, Ooh)Enjoy the SHOW FEEL MY RHYTHM and Flow We Can take or Slow Come to my party just once again b.R.B You, only you, be my v.I.P you, B.I.G like meL.O.V.E L.O.V.E A little strange YES imma geek in front of love, enough to seduce youDenny You Gotta Shake Me You''Re 'My Love from the first time I saw it from me to me' Cause You 'My,' Cause You 'My Love for Me, Baby Finding Love I can't hide it.'Re my love for me, Baby I Shot for the Love, Shot for the Love Tell Me, Tell Me SHOT for the Love, Shot for the Love Tell MeOOH) Come and Get it, Come and Get it (Ah, Ah, OOH-OOO) Show me baby, show me baby uh, sit back and show the show We can take it or slow if you winME, then Dance with me step it up (Ah, Ah), Step it up (Ah-AH) Step it up (Ah, Ah), Step it up (OOH) Step it up(AH-AH) Step it up (Ah, Ah), Step it up with me you gotta Feel me (Ah-Ah) last dance with me without you na mean sit back and just enjoy our show, haYou''Re my love from the moment I saw it from the moment I saw me 'Cause you' my, 'cause you' my love for me, baby finding love I can't hide 'Cause youME, BABY I Shot for the Love, SHOT for the Love TellME, TELL ME SHOT for the Love, SHOT for the Love Tell Me, Tell Me prayed forever, and please make me Crazy Step Into My Heart, Yeah (Youy My Love) to all fate (Finding Love)OOH-OOOH-OOOH-OOOH (YOU'Re My Love) Pray that this moment is forever, please make me crazy",0
192,GAMBLER,Monsta X,"If you don't know, now you know Okay? Deal Mysterious air flow, sticky eyes (huh) Oh, yeah (I like that) Bet everything, you who stole my heart (huh) What you want? (secret) Don't you really wanna feel alive? Until morning, flip that unfamiliar playing with fire I want something deeper, you nah mean, ha? A strong attraction comes (ha!) I still can’t figure it out, your bluffing (whoo) But a different feeling comes, hidden in the darkness, my heart is beating now So sweet, I fall into your smile, I’m enchanted by your trick, I try to push you away Even if I try, even if I try to forget you, my shaking heart callin' me now Zero, zero, lucky, bang (whoo) ♪ My suit is black, my suit is fresh Open my pack, let me show you how I bang All in game As things happen, the board is already a race What you do? (What you do?) They don't know what you do I hold you in my hand, poker face Me? I'm a handsome sum of money I got a Vesper martini, hoo My pocket overflows with c-note or dinero My fit that always changes neatly Nice and sassy The modifier that follows me All-time on season The taste is ripe, huh, maximum I can’t fall, drip drip Hot as °F (whoo) So sweet, I fall more into one kiss I’m enchanted by your trick I try to stop me, try to get away from you but my shaking heart callin’ me now Zero, zero, lucky, bang ( whoo) My suit is black, my suit is fresh Open my pack, let me show you how I bang All in If you did, it's a game to win everything, the board is already a race as things happen What you do? (What you do?) They don't know what you do With you in hand, I poker face dance (ha!) ♪ (Huh, huh, huh) Hold up She's gone, she's gone She's gone, she's gone It's done , yeah, whoo With a strong conviction (ha!) I finally figured out your bluffing (oh) The moment I fell for you (ha!) I put my heart on a trap that caught me (ha!) Even if I lost everything for a moment, this heart caught in a trap killin' me now Baby, baby, aww (whoo) Show me something, girl, you wanna be like My suit is black, my suit is fresh Open my pack, let me show you how I bang, yeah You don't know how to take me yet 'Cause love is a gamble Just I wanna say If you don't know, now you know Deal?",0
193,DRAMARAMA,Monsta X,"Dramama Ramama Hey Dramama Ramama Ramama Hey Dramama Ramama Ramama Hey  Your eyes and my arms and legs no way not funny My time can't stop and my heart is turned around and my heart is back.It will open your eyes in your arms. If you are all you are, yes I do it.It's so sad to send you through OH MAMA GOSH, so I left the lost wanderer and I couldn't go to Dramama Ramama.Tell me what to do to do, but to do it, it's good to do it properly, but it's right to approach you, so you don't have a beautiful shock breathe that you can't forget.I'm trapped in it and I can't know the end. I'm soaring at the peak of my dramarama. Now it's natural to know how to make you.I don't want to give it to you, even if the tragedy can be dirty youYour scent, which is a ship, will be the background, so it will be a drama, so it's uh.My Drama Dramama Ramama Ramama Ramama Ramama Ramama Hey I keep repeating my Drama dramama ramama ramama hey, which is not suitable for me.",0
194,Never Ever,GOT7,"I've been waiting a lot I'm so sorry, I've decided now. Are you ready was quite long. My wandering will never go again now.I never started you, Romance is ready. I'm ready. I'm ready. I have no fear and I don't have to hesitate to go up up.There's no need to hesitate let's go up up, let's only do you go to you go go back you go again, don't worry about you go again, don't worry againDon't do it, as I was worried about Baby You'Re Mine, Baby You're MINE Now I decided to bet and decide all in myself and decide to be you your mine woh.Let's SIGN It Get the Ink Get the Pen I have no hesitation now. Now I'm ready for Romance. I'm ready. I'm ready. I'm ready.Romance you are ready, I'm ready. I'm ready. I don't have to be afraid of fear, I don't have to hesitate to go up up, let's only love gonna let you go, don't worry because I don't leave you backEVER) Ever Gonna make you Cry doesn't ring again, don't worry Baby you.E, Baby You're Mine I was confused every night. I'm not confident to protect you yet, but as time goes by, I keep rising more clearly.NEVER EVER) EVER GONNA Let You Go Don't leave you again, don't worry Baby You're Mine Mine Mine Mine (Never Ever) Ever Gonna Make You Cry, don't worry about Baby youEVER EVER, NEVER EVER EVER EVER, NEVER EVER, Never Ever Ever, Never Ever, Never Ever, Never Ever",0
195,Lullaby,GOT7,"I can't believe my dream in the middle of the day, but I'm still a lie.In addition, all the language whispering languages can dig out and stop, so I can't stop it.To me baby it 's Magical breaks I want it, I want it you make me so that this moment can be forever because the eyes of I want it, I want it, I want it, I want it, so that this mood can continue to be dragged from you.AY, AY, AY You Make Me Sleeping slowly and sleeping like you make me ay, ay, ay, the stroking hand strokes like the winding wind.Even if it gets dark, the darkness of it is also bright, so it's because it's you to stop, so I can't fall for a while, so I want to keep it next to you.I want it, I want it, so that this moment can be forever because the eyes wound I want it, I want it, don't wake up me if this moment can be forever.I hope you forever without iron, and fill you up with a sweet voice.Magical Sweet Lullaby I want it every day, Sweet talk to me baby it 's Magical can't wake up.",0
196,Why Not?,LOONA,"I'm a bad girl, but I'm deprived of the answer and close my mouth. I can't hide the bite red bite underneath.On the night again, I'm trapped in my room again, and the moonlight shining on the day I knocked on the window (Whoa, Whoa, Whoa, Whoa) Let's pump it up yeah is the same?It's not fun, whoo-hoo OOH, LA-LA, why, why, why?OOH, LA-LA, why, why no, no?Everyone, like me, on the rhythm on Groove it (Groove it), according to the feeling, Why not?Let's memorize Do it (do it), Yolo-Lo Yolo-Lo Created this Tomorrow take it to the right, take it to the Left dance all night (and achieve it).Don't notice it, it's important, don't kill my Vibe, that's a ""No-no"" (No-no) I'm a bad girl.Eyes (my eyes) I'm not a bad girl, the lines that can't be over perfectly (OH) are all over all of them, but they only keep the center of the moonlight festival.Now, when I close my eyes for twelve times, I feel like this (Whoa, Whoa, Whoa, Whoa, Whoa) Let's Pump It up yeah Where are you?Follow me only Who-HOO OOH, La-La, Ah, why, why?OOH, LA-LA, why, why no, no?Everyone, like me, on the rhythm on Groove it (Groove it), according to the feeling, Why not?Do it (do it) Midnight dancing, dancing dancing, dancing, dancing, yeah (a wonderful night) Which wonder, cool, cool, cool, nice night let's pump it yeah, yeah, Why not?(Is it just a dream?) Replace all, let's burn it up  You know?It's not a dream Why not?Do it OOH, LA-LA, Ah, why, why?OOH, LA-LA, why, why no, no?",0
197,TRUTH,GOT7,"This late night your call, you ask you somewhere (OOH, OOH) I just lie down, you just lie down, you know it (you know it), oh, oh, yeah, yeah, yeah, yeah did you call me, Baby?Where are you doing it?Suddenly, why are you hungry?Just Tell Me IT's True (Turutu) if you tel me it 'True iT, Baby, I know it, but I know (AH) Just Tell Me it's true if you are more honestUp to you love me, love me, love me Why you calling tonight when I'm sippin '?Waiting for your call is Secret (Secret) pushing and pulling it for me to be tired, so Just tell me (Yeah, yeah, yeah, yeah) bae, come to mi casa, go homeIt's beautiful with ten times, so don't worry about sitting next to me (Woo) Stop Playin 'with me (stop playin' with me) Why did you call me?Where are you doing it?(What are you?) Suddenly bored, why do you do it?Just Tell Me IT's True (Turutu) if you tel me it 'True iT, Baby, I know it, but I know (AH) Just Tell Me it's true if you are more honestUntil you love me, love me, love me divin 'to you(Turutu) if you tel me it 'True iT, Baby, I know it, but (Ah) Just tell me it' true (Turutu) If you are more honest, I'm going right now, up to your eyes (Ah) ifYou love me, love me, love me  if you love me, love me, love me  if you love me, love me, love me",0
198,PIRI,Dreamcatcher,"The moment I closed my eyes, I left black space or alone (i-I-I) and wake up again even if I wake up again, even if I wake up again, my reality is no different.I will solve all of the time, but I'm wandering around the way, but if I can reach you, blow the flute oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh--oh-oh-oh-oh I know what you want to me flute (hey!) Endless down, down, down for me, no time is no it's not too.PIL-LIL-LIL-LIL-LIL-LIL-LIL-LIL-LIL-LIL-LIL-LIL-LIL-LIL-LIL-LIL-EMERGENCY Emergency Emergency-Lil-by, I don't want to see you, I'm looking for you, I'm looking for you, I don't want to miss YA.Like a fire, like a fire, it's like a sound, like a sound, like a sound, like a heart, like a heart like a heart.--oh-oh-oh oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh I know what you want to me flute (hey!)Down for ME There's no time now 'NOT TOO LATE Save Me Now I'm already Emergency Emergency Pil-Lil-Lil-Lil-Lil-Lil-Lil-Lil-Lil-Lil-Lil-Lil-LEven if you lose the road you walked again, I'll wait until you come, but blow oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-OH I KNOW What You Want to Me Flute (Hey!) Even more endless down, down, down for me, there is no time for no it's not too.",0
199,Don't Leave Me Alone,GOT7,"Suddenly, if you are anxious that you won't cover you, you will be able to let go of me easily when you deceive me.If you don't fall down, don't get away from you don't have it, I'll be there, don't have me alone, know me as long as you love me, hold me tightly don't have leave me alone, keep me as long as you love me,Grab me tightly (grab me tightly) and the words and words are tangled up, but even if I don't have a pedal, I keep tangled up and stop like a child who is lost.Melt your heart, when you get dark without UH, tell me to hold your hand. If you don't have to look at you so that I don't have to see you don't have it, I'll have no leave me alone, know me as long as you love me,Catch me, don't leave me Alone, protect me as long as you love me, hold me tightly (hold me tightly) Holo, Holo, Holo, Holo, Holo, Holo alone, Holo, Holo, Holo (don't let it leave)Holo, Holo, Holo (Holo, Holo, Holo) alone, Holo, Holo, alone (don't let it go), and when the wind stays side by side as it stays as cool as the sky stays side by side, the sunset is as shining as the stars shine.I'll hug you more by me alone, know me, as long as you love me, hold me tightly don't leave me Alone, keep me as long as you love me, catch me tightlyMe) Holo, Holo, Holo (Holo, Holo, Holo) Holo, Holo, Holo (Don't leave) Holo, Holo, Holo (Holo, Holo, Holo) Holo, Holo, Holo, Holo (Don't Leave)",0
200,ANTIFRAGILE (song),Le Sserafim, anti ti ti ti fragile fragile anti ti ti ti fragile anti ti ti ti fragile fragile antifragile antifragile oer the trail of thorns you made me boost up party packed with lies they dont een burn much talk behind my back rials i neer knew i had they all pray for the day im falling onto their hands imma jump in gimme that like a majestic lion eyes glinting with so much desire more out gasoline on fire fly again rising through the flames forget my pointe shoes i left behind what more must be said underestimate the path ie walked i go to ride till i die die climb higher top of the world i itched for no biggie if i were to fall im antifragile antifragile now im on my way toss away your fairy tale now you know my name im antifragile antifragile anti ti ti ti fragile fragile anti ti ti ti fragile anti ti ti ti fragile fragile antifragile antifragile loey loey doey doey doey defining me howeer youd like i dont know what to say i cant feel it attention welcome cute jealousy go ahead puppets no thanks with my song ill build my future gimme that like a majestic lion eyes glinting with so much desire more out gasoline on fire fly again rising through the flames forget my pointe shoes i left behind what more must be said underestimate the path ie walked i go to ride till i die die climb higher top of the world i itched for no biggie if i were to fall im antifragile antifragile now im on my way toss away your fairy tale now you know my name im antifragile antifragile anti ti ti ti fragile fragile anti ti ti ti fragile anti ti ti ti fragile fragile antifragile antifragile can break it baby rock it twist it lock it baby all i know is you cant chain me im gonna break out gonna gonna break out out can break it baby rock it twist it lock it baby all i know is you cant chain me im gonna break out gonna gonna break out out climb higher top of the world i itched for no biggie if i were to fall im antifragile antifragile now im on my way toss away your fairy tale now you know my name im antifragile antifragile anti ti ti ti fragile fragile anti ti ti ti fragile anti ti ti ti fragile fragile antifragile antifragile,1
